from_title,from_date,to_title,to_date,days_between,tone_shift_score,sentiment_delta,from_stance,to_stance,from_prediction_style,to_prediction_style,increased_themes,decreased_themes,explanation
Genius Isn't Enough (and Other Lessons from Long-Term Capital Management),1998-10-09,How's the Market?,1999-04-15,188,0.6636,0.1818,constructive,constructive,warning,forecasting,"macro (+6.34), valuation (+4.94), rates (+4.26)","risk (-6.58), credit (-5.15), cycles (-2.77)","prediction posture moves from warning to forecasting; greater emphasis on macro (+6.34), valuation (+4.94), rates (+4.26); less emphasis on risk (-6.58), credit (-5.15), cycles (-2.77)"
Shall We Repeal the Laws of Economics?,2024-09-19,Ruminating on Asset Allocation,2024-10-22,33,0.659,-0.15,constructive,constructive,forecasting,warning,"risk (+14.27), credit (+11.77), prediction (+6.54)","macro (-7.06), politics (-6.76), cycles (-0.33)","prediction posture moves from forecasting to warning; greater emphasis on risk (+14.27), credit (+11.77), prediction (+6.54); less emphasis on macro (-7.06), politics (-6.76), cycles (-0.33)"
Warning Flags,2010-05-12,It’s Greek to Me,2010-07-19,68,0.6498,0.1966,opportunistic,constructive,warning,forecasting,"macro (+7.57), politics (+4.31), uncertainty (+0.21)","credit (-14.80), risk (-13.23), psychology (-6.02)","stance moves from opportunistic to constructive; prediction posture moves from warning to forecasting; greater emphasis on macro (+7.57), politics (+4.31), uncertainty (+0.21); less emphasis on credit (-14.80), risk (-13.23), psychology (-6.02)"
The Route to Performance,1990-10-12,First Quarter Performance,1991-04-11,181,0.6439,-0.75,constructive,cautious,forecasting,forecasting,"cycles (+23.12), credit (+9.51), psychology (+5.78)","politics (-1.32), uncertainty (-1.32)","stance moves from constructive to cautious; later memo is materially more defensive / bearish in tone; greater emphasis on cycles (+23.12), credit (+9.51), psychology (+5.78); less emphasis on politics (-1.32), uncertainty (-1.32)"
Will It Work?,2009-03-05,So Much That’s False and Nutty,2009-07-08,125,0.6429,-0.3486,constructive,alarmed,forecasting,warning,"risk (+12.59), credit (+5.62), valuation (+2.74)","politics (-9.31), macro (-1.71), uncertainty (-0.31)","stance moves from constructive to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+12.59), credit (+5.62), valuation (+2.74); less emphasis on politics (-9.31), macro (-1.71), uncertainty (-0.31)"
A Case in Point,2005-06-06,Risk,2006-01-19,227,0.6158,-0.0705,opportunistic,constructive,forecasting,warning,"risk (+22.26), prediction (+1.89), uncertainty (+0.49)","credit (-8.47), valuation (-2.40), rates (-1.19)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; greater emphasis on risk (+22.26), prediction (+1.89), uncertainty (+0.49); less emphasis on credit (-8.47), valuation (-2.40), rates (-1.19)"
A Fresh Start (Hopefully),2012-11-09,Ditto,2013-01-07,59,0.5926,-0.3636,constructive,constructive,forecasting,warning,"risk (+15.49), cycles (+7.15), valuation (+5.71)","politics (-11.23), technology_ai (-0.65), prediction (-0.54)","prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+15.49), cycles (+7.15), valuation (+5.71); less emphasis on politics (-11.23), technology_ai (-0.65), prediction (-0.54)"
Open and Shut,2010-12-01,All That Glitters,2010-12-17,16,0.5885,-0.2631,opportunistic,humble,warning,forecasting,"valuation (+13.70), uncertainty (+2.42), politics (+0.33)","credit (-13.13), risk (-8.58), cycles (-5.91)","stance moves from opportunistic to humble; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on valuation (+13.70), uncertainty (+2.42), politics (+0.33); less emphasis on credit (-13.13), risk (-8.58), cycles (-5.91)"
"Fewer Losers, or More Winners?",2023-09-12,Further Thoughts on Sea Change,2023-10-11,29,0.5798,-0.5394,constructive,opportunistic,warning,forecasting,"rates (+30.91), macro (+6.24), credit (+4.54)","risk (-9.92), uncertainty (-0.44)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on rates (+30.91), macro (+6.24), credit (+4.54); less emphasis on risk (-9.92), uncertainty (-0.44)"
Investing Without People,2018-06-18,The Seven Worst Words in the World,2018-09-26,100,0.5777,-0.8652,opportunistic,alarmed,forecasting,warning,"credit (+17.57), rates (+7.04), risk (+6.83)",valuation (-4.63),"stance moves from opportunistic to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+17.57), rates (+7.04), risk (+6.83); less emphasis on valuation (-4.63)"
On Regulation,2011-03-02,How Quickly They Forget,2011-05-25,84,0.5748,0.4143,alarmed,alarmed,forecasting,warning,"credit (+13.98), risk (+7.34), valuation (+5.54)","politics (-18.63), macro (-3.92), cycles (-1.95)","prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on credit (+13.98), risk (+7.34), valuation (+5.54); less emphasis on politics (-18.63), macro (-3.92), cycles (-1.95)"
How Quickly They Forget,2011-05-25,Down to the Wire,2011-07-21,57,0.5677,0.2231,alarmed,alarmed,warning,forecasting,"macro (+8.03), politics (+4.64), credit (+2.01)","risk (-10.65), valuation (-5.94), rates (-3.75)","prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+8.03), politics (+4.64), credit (+2.01); less emphasis on risk (-10.65), valuation (-5.94), rates (-3.75)"
You Can’t Eat IRR,2006-07-12,Dare to Be Great,2006-09-07,57,0.5566,-0.3571,constructive,constructive,warning,forecasting,"credit (+3.26), risk (+2.05), technology_ai (+1.17)","valuation (-21.93), psychology (-0.27), rates (-0.27)","prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+3.26), risk (+2.05), technology_ai (+1.17); less emphasis on valuation (-21.93), psychology (-0.27), rates (-0.27)"
The Folly of Certainty,2024-07-17,Mr. Market Miscalculates,2024-08-22,36,0.5466,0.9781,humble,constructive,forecasting,forecasting,"valuation (+4.78), psychology (+3.48), cycles (+3.04)","rates (-4.01), politics (-3.47), macro (-3.14)","stance moves from humble to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+4.78), psychology (+3.48), cycles (+3.04); less emphasis on rates (-4.01), politics (-3.47), macro (-3.14)"
Risk Revisited,2014-09-03,The Lessons of Oil,2014-12-18,106,0.5443,0.2679,constructive,opportunistic,warning,forecasting,"macro (+4.10), valuation (+3.35), psychology (+1.80)","risk (-24.37), prediction (-5.51), uncertainty (-0.84)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+4.10), valuation (+3.35), psychology (+1.80); less emphasis on risk (-24.37), prediction (-5.51), uncertainty (-0.84)"
High Yield Bonds Today,2013-02-21,The Outlook for Equities,2013-03-13,20,0.4975,0.0055,opportunistic,constructive,forecasting,warning,"risk (+4.40), valuation (+2.45), psychology (+0.73)","credit (-23.68), rates (-9.55), macro (-0.78)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; greater emphasis on risk (+4.40), valuation (+2.45), psychology (+0.73); less emphasis on credit (-23.68), rates (-9.55), macro (-0.78)"
Liquidity,2015-03-25,Risk Revisited Again,2015-06-08,75,0.4885,0.1113,opportunistic,constructive,forecasting,warning,"risk (+18.09), prediction (+6.01), macro (+1.00)","valuation (-5.39), credit (-3.45), politics (-0.21)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; greater emphasis on risk (+18.09), prediction (+6.01), macro (+1.00); less emphasis on valuation (-5.39), credit (-3.45), politics (-0.21)"
How Does An Inefficient Market Get That Way,1994-07-15,How the Game Should Be Played,1995-05-26,315,0.4754,-0.5,opportunistic,opportunistic,warning,forecasting,cycles (+1.15),"credit (-23.91), valuation (-9.59), risk (-4.91)","prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on cycles (+1.15); less emphasis on credit (-23.91), valuation (-9.59), risk (-4.91)"
All That Glitters,2010-12-17,On Regulation,2011-03-02,75,0.475,-0.6925,humble,alarmed,forecasting,forecasting,"politics (+16.94), cycles (+4.46), risk (+3.89)","valuation (-16.02), uncertainty (-2.42), rates (-1.53)","stance moves from humble to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on politics (+16.94), cycles (+4.46), risk (+3.89); less emphasis on valuation (-16.02), uncertainty (-2.42), rates (-1.53)"
Mysterious,2019-10-17,Nobody Knows II,2020-03-03,138,0.466,0.4375,alarmed,constructive,forecasting,forecasting,"macro (+4.36), prediction (+1.05), psychology (+0.68)","rates (-24.66), credit (-11.64), risk (-2.38)","stance moves from alarmed to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+4.36), prediction (+1.05), psychology (+0.68); less emphasis on rates (-24.66), credit (-11.64), risk (-2.38)"
No Different This Time – The Lessons of ‘07,2007-12-17,Now What?,2008-01-10,24,0.4482,-0.0313,constructive,opportunistic,warning,forecasting,"macro (+8.45), credit (+7.22), rates (+5.99)","risk (-7.04), valuation (-4.33), prediction (-2.78)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; greater emphasis on macro (+8.45), credit (+7.22), rates (+5.99); less emphasis on risk (-7.04), valuation (-4.33), prediction (-2.78)"
Easy Money,2024-01-09,The Indispensability of Risk,2024-04-17,99,0.4446,-0.0978,opportunistic,humble,warning,warning,"risk (+19.45), prediction (+1.71), uncertainty (+1.28)","rates (-29.18), credit (-8.55), cycles (-5.39)","stance moves from opportunistic to humble; greater emphasis on risk (+19.45), prediction (+1.71), uncertainty (+1.28); less emphasis on rates (-29.18), credit (-8.55), cycles (-5.39)"
Touchstones,2009-11-10,Tell Me I’m Wrong,2010-01-22,73,0.4344,0.4146,alarmed,opportunistic,warning,forecasting,"macro (+12.31), rates (+10.16), credit (+4.26)","risk (-9.85), cycles (-1.25), psychology (-0.61)","stance moves from alarmed to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+12.31), rates (+10.16), credit (+4.26); less emphasis on risk (-9.85), cycles (-1.25), psychology (-0.61)"
Random Thoughts On The Identification Of Inv Opportunities,1994-01-24,Risk in Today's Markets,1994-02-17,24,0.4336,-0.913,opportunistic,cautious,forecasting,warning,"rates (+12.90), risk (+8.88), macro (+0.85)","valuation (-5.94), credit (-4.95), psychology (-2.76)","stance moves from opportunistic to cautious; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on rates (+12.90), risk (+8.88), macro (+0.85); less emphasis on valuation (-5.94), credit (-4.95), psychology (-2.76)"
Cockroaches in the Coal Mine,2025-11-06,Is It a Bubble?,2025-12-09,33,0.433,-0.8224,constructive,alarmed,warning,forecasting,"technology_ai (+15.07), valuation (+1.97), prediction (+1.54)","credit (-9.14), risk (-3.09), cycles (-2.71)","stance moves from constructive to alarmed; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on technology_ai (+15.07), valuation (+1.97), prediction (+1.54); less emphasis on credit (-9.14), risk (-3.09), cycles (-2.71)"
On the Couch,2016-01-14,What Does the Market Know?,2016-01-19,5,0.4318,-0.0647,constructive,opportunistic,forecasting,forecasting,"valuation (+12.77), credit (+3.02), psychology (+2.33)","rates (-7.34), macro (-5.81), risk (-1.66)","stance moves from constructive to opportunistic; greater emphasis on valuation (+12.77), credit (+3.02), psychology (+2.33); less emphasis on rates (-7.34), macro (-5.81), risk (-1.66)"
The Pendulum in International Affairs,2022-03-23,Bull Market Rhymes,2022-05-26,64,0.4317,-0.6912,opportunistic,opportunistic,forecasting,warning,"psychology (+5.28), risk (+3.00), valuation (+2.49)","macro (-4.00), politics (-1.49), cycles (-0.40)","prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on psychology (+5.28), risk (+3.00), valuation (+2.49); less emphasis on macro (-4.00), politics (-1.49), cycles (-0.40)"
Uncertainty II,2020-05-28,Not Enough,2020-06-11,14,0.4236,1.1429,humble,opportunistic,forecasting,forecasting,"psychology (+1.74), rates (+1.74), macro (+1.06)","prediction (-3.74), risk (-2.91), uncertainty (-2.91)","stance moves from humble to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on psychology (+1.74), rates (+1.74), macro (+1.06); less emphasis on prediction (-3.74), risk (-2.91), uncertainty (-2.91)"
Risk and Return Today,2004-10-27,Oaktree at Ten,2005-04-11,166,0.4221,0.3312,opportunistic,constructive,warning,forecasting,macro (+0.32),"risk (-12.94), valuation (-8.90), rates (-6.18)","stance moves from opportunistic to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+0.32); less emphasis on risk (-12.94), valuation (-8.90), rates (-6.18)"
AI Hurtles Ahead,2026-02-26,Go Figure!,2026-03-24,26,0.41,0.308,constructive,constructive,forecasting,forecasting,"politics (+8.46), rates (+8.25), macro (+7.87)","technology_ai (-24.07), valuation (-0.99), risk (-0.78)","later memo is materially more constructive / bullish in tone; greater emphasis on politics (+8.46), rates (+8.25), macro (+7.87); less emphasis on technology_ai (-24.07), valuation (-0.99), risk (-0.78)"
Inspiration from the World of Sports,2015-10-22,On the Couch,2016-01-14,84,0.4066,-0.5368,constructive,constructive,forecasting,forecasting,"rates (+8.48), macro (+6.96), credit (+6.56)",technology_ai (-0.98),"later memo is materially more defensive / bearish in tone; greater emphasis on rates (+8.48), macro (+6.96), credit (+6.56); less emphasis on technology_ai (-0.98)"
What Does the Market Know?,2016-01-19,Economic Reality,2016-05-26,128,0.4013,0.3285,opportunistic,constructive,forecasting,forecasting,"macro (+7.69), politics (+2.83), rates (+1.33)","valuation (-14.03), credit (-8.19), psychology (-4.87)","stance moves from opportunistic to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+7.69), politics (+2.83), rates (+1.33); less emphasis on valuation (-14.03), credit (-8.19), psychology (-4.87)"
Hedge Funds: A Case for Caution,2004-10-06,Risk and Return Today,2004-10-27,21,0.401,-0.1971,constructive,opportunistic,forecasting,warning,"risk (+12.31), credit (+10.85), valuation (+3.62)","cycles (-0.53), technology_ai (-0.27)","stance moves from constructive to opportunistic; prediction posture moves from forecasting to warning; greater emphasis on risk (+12.31), credit (+10.85), valuation (+3.62); less emphasis on cycles (-0.53), technology_ai (-0.27)"
What Really Matters?,2022-11-22,Sea Change,2022-12-13,21,0.4008,-0.1635,constructive,opportunistic,forecasting,warning,"rates (+20.84), credit (+10.36), macro (+9.57)","cycles (-0.75), prediction (-0.75), uncertainty (-0.56)","stance moves from constructive to opportunistic; prediction posture moves from forecasting to warning; greater emphasis on rates (+20.84), credit (+10.36), macro (+9.57); less emphasis on cycles (-0.75), prediction (-0.75), uncertainty (-0.56)"
The Calculus of Value,2025-08-13,A Look Under the Hood,2025-10-28,76,0.3957,-0.0718,constructive,constructive,forecasting,warning,"risk (+12.80), politics (+2.11), cycles (+0.58)","valuation (-21.99), psychology (-4.16), macro (-2.21)","prediction posture moves from forecasting to warning; greater emphasis on risk (+12.80), politics (+2.11), cycles (+0.58); less emphasis on valuation (-21.99), psychology (-4.16), macro (-2.21)"
The Race Is On,2013-11-26,Getting Lucky,2014-01-16,51,0.3946,0.8644,alarmed,constructive,warning,forecasting,politics (+0.19),"credit (-11.09), risk (-8.36), rates (-5.13)","stance moves from alarmed to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+0.19); less emphasis on credit (-11.09), risk (-8.36), rates (-5.13)"
What’s Your Game Plan?,2003-09-05,The Feeling's Mutual,2003-10-02,27,0.394,-0.2876,constructive,opportunistic,preparation,forecasting,"valuation (+4.31), politics (+0.31), technology_ai (+0.31)","credit (-1.58), cycles (-1.05), risk (-0.74)","stance moves from constructive to opportunistic; prediction posture moves from preparation to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on valuation (+4.31), politics (+0.31), technology_ai (+0.31); less emphasis on credit (-1.58), cycles (-1.05), risk (-0.74)"
What's Going On?,2003-05-16,The Most Important Thing,2003-07-01,46,0.3896,0.05,opportunistic,opportunistic,forecasting,forecasting,"valuation (+6.11), risk (+4.00), uncertainty (+0.68)","credit (-23.63), rates (-5.24), cycles (-3.88)","greater emphasis on valuation (+6.11), risk (+4.00), uncertainty (+0.68); less emphasis on credit (-23.63), rates (-5.24), cycles (-3.88)"
The Happy Medium,2004-07-21,Hedge Funds: A Case for Caution,2004-10-06,77,0.3882,0.5012,opportunistic,constructive,warning,forecasting,rates (+1.13),"cycles (-8.36), psychology (-8.13), risk (-7.54)","stance moves from opportunistic to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on rates (+1.13); less emphasis on cycles (-8.36), psychology (-8.13), risk (-7.54)"
Who Knew?,1998-01-08,Genius Isn't Enough (and Other Lessons from Long-Term Capital Management),1998-10-09,274,0.3831,0.2594,constructive,constructive,forecasting,warning,"risk (+5.59), credit (+5.36), valuation (+2.42)","macro (-8.73), rates (-1.74), uncertainty (-1.62)","prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+5.59), credit (+5.36), valuation (+2.42); less emphasis on macro (-8.73), rates (-1.74), uncertainty (-1.62)"
The Long View,2009-01-09,Will It Work?,2009-03-05,55,0.3825,0.2708,constructive,constructive,warning,forecasting,"politics (+8.26), uncertainty (+0.31)","credit (-8.23), cycles (-6.16), macro (-3.37)","prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+8.26), uncertainty (+0.31); less emphasis on credit (-8.23), cycles (-6.16), macro (-3.37)"
Selling Out,2022-01-13,The Pendulum in International Affairs,2022-03-23,69,0.3774,-0.0625,opportunistic,opportunistic,forecasting,forecasting,"macro (+5.61), cycles (+4.42), politics (+1.70)","valuation (-3.16), risk (-1.50), prediction (-1.17)","greater emphasis on macro (+5.61), cycles (+4.42), politics (+1.70); less emphasis on valuation (-3.16), risk (-1.50), prediction (-1.17)"
Growing the Pie,2019-04-01,On the Other Hand,2019-07-26,116,0.3725,-0.0928,opportunistic,constructive,forecasting,forecasting,"rates (+32.71), macro (+8.27), risk (+2.18)",technology_ai (-0.34),"stance moves from opportunistic to constructive; greater emphasis on rates (+32.71), macro (+8.27), risk (+2.18); less emphasis on technology_ai (-0.34)"
The Limits to Negativism,2008-10-15,Volatility + Leverage = Dynamite,2008-12-17,63,0.3604,0.6405,alarmed,opportunistic,forecasting,warning,"risk (+9.02), credit (+4.72), valuation (+4.60)","psychology (-5.90), rates (-3.01), macro (-2.03)","stance moves from alarmed to opportunistic; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+9.02), credit (+4.72), valuation (+4.60); less emphasis on psychology (-5.90), rates (-3.01), macro (-2.03)"
The Winds of Change,2021-11-23,Selling Out,2022-01-13,51,0.3569,0.2862,constructive,opportunistic,forecasting,forecasting,"valuation (+4.43), risk (+1.73), prediction (+1.04)","politics (-6.02), macro (-5.83), technology_ai (-3.17)","stance moves from constructive to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+4.43), risk (+1.73), prediction (+1.04); less emphasis on politics (-6.02), macro (-5.83), technology_ai (-3.17)"
Will It Be Different This Time?,1996-11-25,Are You An Investor or a Speculator?,1997-09-03,282,0.3532,0.1364,constructive,opportunistic,forecasting,forecasting,"rates (+10.51), valuation (+9.78), risk (+4.12)","macro (-6.29), cycles (-5.03), prediction (-1.56)","stance moves from constructive to opportunistic; greater emphasis on rates (+10.51), valuation (+9.78), risk (+4.12); less emphasis on macro (-6.29), cycles (-5.03), prediction (-1.56)"
"Hey, Steward!!",2004-03-16,Us and Them,2004-05-07,52,0.351,-0.3077,constructive,opportunistic,forecasting,forecasting,"rates (+7.75), macro (+3.38), valuation (+3.38)","politics (-0.65), credit (-0.29)","stance moves from constructive to opportunistic; later memo is materially more defensive / bearish in tone; greater emphasis on rates (+7.75), macro (+3.38), valuation (+3.38); less emphasis on politics (-0.65), credit (-0.29)"
Which Way Now?,2020-03-31,Calibrating,2020-04-06,6,0.3297,0.0321,constructive,opportunistic,forecasting,forecasting,"risk (+2.33), uncertainty (+1.92), prediction (+1.01)","macro (-9.44), politics (-3.66), rates (-1.82)","stance moves from constructive to opportunistic; greater emphasis on risk (+2.33), uncertainty (+1.92), prediction (+1.01); less emphasis on macro (-9.44), politics (-3.66), rates (-1.82)"
The Feeling's Mutual,2003-10-02,"Hey, Steward!!",2004-03-16,166,0.3271,0.4615,opportunistic,constructive,forecasting,forecasting,"macro (+0.98), rates (+0.98), politics (+0.34)","valuation (-4.03), technology_ai (-0.31)","stance moves from opportunistic to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+0.98), rates (+0.98), politics (+0.34); less emphasis on valuation (-4.03), technology_ai (-0.31)"
Time for Thinking,2020-08-05,Coming into Focus,2020-10-13,69,0.3248,0.1242,constructive,opportunistic,forecasting,warning,"risk (+6.92), valuation (+6.36), rates (+4.36)","macro (-4.86), cycles (-0.74), uncertainty (-0.47)","stance moves from constructive to opportunistic; prediction posture moves from forecasting to warning; greater emphasis on risk (+6.92), valuation (+6.36), rates (+4.36); less emphasis on macro (-4.86), cycles (-0.74), uncertainty (-0.47)"
"Returns, Absolute Returns and Risk",2006-06-13,You Can’t Eat IRR,2006-07-12,29,0.3245,0.125,constructive,constructive,warning,warning,"valuation (+6.58), psychology (+0.27)","risk (-9.94), prediction (-1.07), rates (-0.81)","greater emphasis on valuation (+6.58), psychology (+0.27); less emphasis on risk (-9.94), prediction (-1.07), rates (-0.81)"
Whad’Ya Know?,2003-03-11,What's Going On?,2003-05-16,66,0.3225,0.0875,opportunistic,opportunistic,forecasting,forecasting,"credit (+18.47), cycles (+4.25), valuation (+4.11)","macro (-1.55), prediction (-1.54), technology_ai (-0.99)","greater emphasis on credit (+18.47), cycles (+4.25), valuation (+4.11); less emphasis on macro (-1.55), prediction (-1.54), technology_ai (-0.99)"
It’s Not Easy,2015-09-09,Inspiration from the World of Sports,2015-10-22,43,0.3185,0.1227,constructive,constructive,warning,forecasting,"technology_ai (+0.62), cycles (+0.24)","risk (-11.27), valuation (-5.57), prediction (-2.75)","prediction posture moves from warning to forecasting; greater emphasis on technology_ai (+0.62), cycles (+0.24); less emphasis on risk (-11.27), valuation (-5.57), prediction (-2.75)"
'Risk in Today's Markets' Revisited,1994-04-11,How Does An Inefficient Market Get That Way,1994-07-15,95,0.3099,0.3182,opportunistic,opportunistic,warning,warning,"credit (+17.03), valuation (+6.99), risk (+1.93)","rates (-9.64), psychology (-3.75), macro (-2.14)","later memo is materially more constructive / bullish in tone; greater emphasis on credit (+17.03), valuation (+6.99), risk (+1.93); less emphasis on rates (-9.64), psychology (-3.75), macro (-2.14)"
Ruminating on Asset Allocation,2024-10-22,On Bubble Watch,2025-01-02,72,0.3079,-0.75,constructive,alarmed,warning,warning,"technology_ai (+3.86), macro (+1.47), psychology (+1.45)","risk (-12.91), credit (-12.45), prediction (-6.71)","stance moves from constructive to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on technology_ai (+3.86), macro (+1.47), psychology (+1.45); less emphasis on risk (-12.91), credit (-12.45), prediction (-6.71)"
